Heure UTC	Minute UTC	Seconde UTC	Heure UTC	Secondes mission	Latitude x 1000000	Longitude x 1000000	Altitude (m) x 100	Distance (m)	Speed (m/s) x 100	State GPS (Ok = 0 else False)	Speed (km/h)	Altitude (m)	Latitude 	Longitude
13	18	27	13:18:27	83	43214644	4294918830	120109	479	22	0	0,792	1201,09	43,214644	-0,042949188
13	18	28	13:18:28	84	43214639	4294918742	114720	481	288	0	10,368	1147,2	43,214639	-0,042949187
13	18	29	13:18:29	85	43214609	4294918689	107220	486	421	0	15,156	1072,2	43,214609	-0,042949187
13	18	30	13:18:30	86	43214541	4294918713	99350	492	418	0	15,048	993,5	43,214541	-0,042949187
13	18	31	13:18:31	87	43214513	4294918727	93450	495	287	0	10,332	934,5	43,214513	-0,042949187
13	18	32	13:18:32	88	43214485	4294918726	88340	498	308	0	11,088	883,4	43,214485	-0,042949187
13	18	33	13:18:33	89	43214454	4294918734	83870	501	283	0	10,188	838,7	43,214454	-0,042949187
13	18	34	13:18:34	90	43214428	4294918720	79450	504	290	0	10,44	794,5	43,214428	-0,042949187
13	18	35	13:18:35	91	43214408	4294918705	79450	507	325	0	11,7	794,5	43,214408	-0,042949187
13	18	36	13:18:36	92	43214388	4294918680	79450	510	327	0	11,772	794,5	43,214388	-0,042949187
13	18	37	13:18:37	93	43214365	4294918664	79450	512	310	0	11,16	794,5	43,214365	-0,042949187
